NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2012;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2012;-;-;-;-
..Prodaja blaga, storitev;2012;469390;105653;164957;198780
..Prenašanje programske opreme;2012;-;-;-;-
..Nalaganje lastnih vsebin na spletne strani;2012;357485;74090;130894;152500
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2012;673036;157061;237317;278658
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2012;45061;11716;12878;20467
..Nalaganje vsebin na spletno stran;2012;-;-;-;-
..Pridobivanje informacij o izobraževanju;2012;-;-;-;-
..Opravljanje teèaja prek interneta;2012;-;-;-;-
..Pridobivanje novih znanj, informacij;2012;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2012;-;-;-;-
..Udeležba kakršnega koli teèaja;2012;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2012;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2012;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2012;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2012;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2012;628726;129540;233506;265679
..Poslušanje spletnih radijskih postaj;2012;467702;82921;186829;197951
..Gledanje spletne TV;2012;418471;85996;152002;180473
..Iskanje drugih informacij;2012;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2012;539291;118312;206661;214318
…Igranje spletnih iger z drugimi osebami;2012;157562;36862;67348;53352
..Izdelava spletnih strani ali blogov;2012;72764;13474;27394;31896
..Uporaba e-pošte za delitev datotek;2012;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2012;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2012;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2012;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2012;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2012;114854;22268;45462;47125
..Pošiljanje sporoèil v novièarske skupine;2012;50271;10348;13362;26562
..Pošiljanje sporoèil v spletne forume;2012;292500;57576;113280;121644
..Branje spletnih forumov;2012;729907;164774;265714;299419
..Neposredno sporoèanje;2012;365958;65414;152599;147944
..Branje blogov;2012;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2012;185293;38162;58340;88791
..Ustvarjanje in urejanje lastnega bloga;2012;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2012;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2012;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2012;-;-;-;-
