NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
..E-naroèanje obiska pri zdravniku;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2010;430414;91564;247713;91137;227528;51923;141761;33844;202886;39640;105953;57293
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2010;222103;28159;117966;75978;126127;20324;66413;39390;95976;7834;51553;36588
...Telefoniranje prek interneta;2010;183489;19883;96593;67013;112116;16634;58821;36661;71373;3249;37772;30352
…Video telefoniranje s spletno kamero prek interneta;2010;146896;21585;75206;50105;76560;15030;38632;22898;70336;6555;36573;27207
..Telefoniranje prek interneta, videokonferenca;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2010;321514;38566;196539;86409;203040;29660;126015;47365;118474;8906;70524;39044
..Prenašanje programske opreme;2010;347150;66502;178826;101822;207454;41577;117237;48640;139696;24925;61589;53182
..Nalaganje lastnih vsebin na spletne strani;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2010;-;-;-;-;-;-;-;-;-;-;-;-
